iter	Passed	Remaining
0	4	1754
1	11	2333
2	15	2001
3	18	1871
4	26	2078
5	29	1948
6	38	2149
7	42	2090
8	50	2181
9	56	2194
10	59	2099
11	63	2066
12	71	2130
13	79	2196
14	80	2068
15	88	2112
16	96	2184
17	104	2215
18	108	2181
19	113	2158
20	115	2089
21	120	2063
22	130	2145
23	132	2070
24	140	2111
25	142	2052
26	145	2009
27	151	2010
28	154	1980
29	163	2018
30	175	2083
31	179	2069
32	183	2036
33	186	2012
34	191	1991
35	195	1973
36	201	1976
37	206	1963
38	210	1950
39	213	1925
40	215	1889
41	220	1878
42	227	1888
43	235	1906
44	244	1925
45	256	1976
46	259	1947
47	265	1943
48	268	1924
49	272	1906
50	273	1871
51	277	1858
52	280	1833
53	283	1815
54	285	1792
55	291	1788
56	295	1778
57	299	1767
58	301	1740
59	307	1744
60	310	1723
61	311	1698
62	313	1678
63	315	1658
64	316	1632
65	319	1614
66	322	1601
67	324	1585
68	328	1574
69	330	1557
70	332	1542
71	335	1526
72	338	1514
73	340	1500
74	344	1492
75	346	1477
76	347	1457
77	349	1444
78	352	1433
79	356	1424
80	357	1409
81	359	1395
82	363	1389
83	365	1375
84	370	1374
85	373	1362
86	375	1351
87	377	1339
88	379	1325
89	382	1316
90	384	1305
91	387	1296
92	389	1284
93	392	1276
94	396	1274
95	401	1272
96	405	1265
97	408	1259
98	412	1255
99	416	1250
100	418	1239
101	420	1229
102	426	1229
103	428	1218
104	430	1209
105	433	1201
106	434	1190
107	438	1186
108	440	1176
109	442	1167
110	444	1156
111	445	1145
112	447	1136
113	449	1128
114	450	1117
115	452	1106
116	453	1096
117	454	1086
118	458	1082
119	460	1073
120	461	1064
121	463	1056
122	465	1048
123	467	1041
124	471	1037
125	474	1031
126	477	1026
127	479	1019
128	481	1010
129	484	1005
130	485	996
131	487	988
132	489	982
133	491	975
134	492	967
135	494	960
136	497	954
137	499	947
138	500	940
139	502	933
140	504	926
141	505	918
142	506	911
143	508	903
144	510	898
145	512	891
146	512	882
147	514	875
148	515	868
149	516	861
150	518	854
151	519	847
152	521	841
153	523	836
154	525	830
155	527	824
156	529	820
157	532	815
158	533	808
159	536	804
160	539	801
161	541	795
162	543	790
163	545	784
164	546	777
165	547	771
166	551	769
167	552	762
168	554	757
169	556	752
170	558	747
171	560	742
172	561	736
173	561	729
174	565	727
175	570	726
176	572	721
177	574	716
178	575	709
179	576	704
180	578	700
181	579	694
182	581	689
183	584	685
184	585	680
185	588	676
186	592	674
187	593	669
188	596	665
189	599	662
190	603	660
191	605	656
192	606	651
193	607	645
194	608	640
195	611	636
196	613	631
197	614	627
198	615	622
199	618	618
200	619	613
201	620	608
202	622	603
203	624	599
204	625	594
205	626	590
206	628	585
207	629	581
208	633	579
209	638	578
210	640	573
211	643	570
212	646	567
213	649	564
214	650	559
215	652	556
216	653	551
217	656	548
218	657	543
219	660	540
220	662	536
221	664	533
222	666	529
223	668	524
224	670	521
225	671	516
226	672	512
227	673	507
228	674	503
229	675	499
230	676	495
231	677	490
232	678	486
233	679	481
234	680	477
235	681	473
236	682	469
237	684	465
238	685	461
239	686	457
240	687	453
241	688	449
242	689	445
243	690	441
244	691	437
245	693	433
246	693	429
247	694	425
248	695	422
249	697	418
250	698	414
251	699	410
252	699	406
253	700	402
254	701	399
255	703	395
256	704	391
257	705	388
258	706	384
259	707	380
260	708	377
261	709	373
262	710	370
263	711	366
264	712	363
265	713	359
266	714	355
267	715	352
268	716	348
269	717	345
270	718	341
271	718	338
272	719	334
273	720	331
274	721	327
275	723	324
276	724	321
277	725	318
278	726	314
279	727	311
280	728	308
281	730	305
282	730	302
283	732	298
284	732	295
285	733	292
286	735	289
287	735	286
288	736	282
289	737	279
290	738	276
291	739	273
292	740	270
293	742	267
294	743	264
295	744	261
296	745	258
297	746	255
298	747	252
299	748	249
300	749	246
301	750	243
302	751	240
303	752	237
304	752	234
305	754	231
306	755	228
307	756	225
308	757	223
309	758	220
310	758	217
311	759	214
312	763	212
313	764	209
314	765	206
315	768	204
316	769	201
317	770	198
318	771	195
319	771	192
320	773	190
321	774	187
322	776	185
323	777	182
324	778	179
325	780	177
326	781	174
327	783	171
328	784	169
329	786	166
330	787	164
331	788	161
332	790	158
333	790	156
334	791	153
335	792	150
336	793	148
337	794	145
338	795	143
339	795	140
340	796	137
341	797	135
342	797	132
343	799	130
344	800	127
345	802	125
346	802	122
347	803	120
348	804	117
349	805	115
350	806	112
351	807	110
352	807	107
353	808	105
354	809	102
355	809	100
356	810	97
357	811	95
358	812	92
359	813	90
360	814	88
361	815	85
362	816	83
363	816	80
364	817	78
365	817	75
366	818	73
367	819	71
368	820	68
369	821	66
370	821	64
371	822	61
372	823	59
373	823	57
374	824	54
375	825	52
376	826	50
377	827	48
378	827	45
379	828	43
380	829	41
381	829	39
382	830	36
383	831	34
384	832	32
385	833	30
386	833	28
387	834	25
388	835	23
389	836	21
390	837	19
391	838	17
392	839	14
393	840	12
394	841	10
395	842	8
396	843	6
397	843	4
398	844	2
399	845	0
96	993	7
397	994	4
398	994	2
399	995	0
	1112	31
389	1114	28
390	1115	25
391	1116	22
392	1117	19
393	1120	17
394	1122	14
395	1125	11
396	1126	8
397	1128	5
398	1128	2
399	1129	0
	9
397	1208	6
398	1208	3
399	1209	0
87	1735	53
388	1737	49
389	1738	44
390	1739	40
391	1740	35
392	1741	31
393	1742	26
394	1744	22
395	1745	17
396	1747	13
397	1748	8
398	1749	4
399	1750	0
